ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
4494,Jewel Link Chronicles: Legend of Athena,DS,2011-01-01,Puzzle,GSP,0.0,0.06,0.0,0.01
4495,Jewel Master Egypt,DS,2009-01-01,Puzzle,Rondomedia,0.21,0.27,0.0,0.05
4496,Jewel Master: Cradle Of Rome 2,DS,2011-01-01,Puzzle,Rising Star Games,0.0,0.02,0.0,0.0
4497,Jewel Master: Cradle of Athena,DS,2010-01-01,Puzzle,Storm City Games,0.17,0.0,0.0,0.01
4498,Jewel Master: Cradle of Persia,DS,2012-01-01,Puzzle,Rising Star Games,0.0,0.04,0.0,0.01
4499,Jewel Master: Cradle of Rome,Wii,2008-01-01,Puzzle,Rondomedia,0.03,0.0,0.0,0.0
4500,Jewel Match,DS,2010-01-01,Puzzle,PlayV,0.05,0.11,0.0,0.02
4501,Jewel Match 2,DS,2012-01-01,Puzzle,Easy Interactive,0.0,0.02,0.0,0.0
4502,Jewel Quest 5: The Sleepless Star,DS,2012-01-01,Action,Licensed 4U,0.0,0.02,0.0,0.0
4503,Jewel Quest II,PC,2007-01-01,Puzzle,Avanquest,0.0,0.01,0.0,0.0
4504,Jewel Quest IV: Heritage,DS,2011-01-01,Puzzle,iWin,0.0,0.05,0.0,0.01
4505,Jewel Quest Mysteries,DS,2009-01-01,Puzzle,Astragon,0.03,0.01,0.0,0.0
4506,Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011-01-01,Puzzle,Unknown,0.0,0.03,0.0,0.0
4507,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010-01-01,Puzzle,Avanquest,0.0,0.25,0.0,0.04
4508,Jewel Quest Solitaire,DS,2009-01-01,Puzzle,GSP,0.0,0.13,0.0,0.02
4509,Jewel Quest: Expeditions,DS,2007-01-01,Puzzle,Avanquest,0.03,0.17,0.0,0.01
4510,Jewel Time Deluxe,DS,2011-01-01,Puzzle,O-Games,0.04,0.03,0.0,0.01
4511,Jewels of the Ages,DS,2011-01-01,Puzzle,City Interactive,0.03,0.02,0.0,0.01
4512,Jewels of the Tropical Lost Island,DS,2010-01-01,Puzzle,Storm City Games,0.11,0.1,0.0,0.02
4513,Jig-A-Pix: Pets,DS,2009-01-01,Puzzle,Zushi Games,0.03,0.0,0.0,0.0
4514,Jig-A-Pix: Wild World,DS,2009-01-01,Puzzle,Zushi Games,0.03,0.0,0.0,0.0
4515,Jikandia: The Timeless Land,PSP,2010-01-01,Role-Playing,Idea Factory,0.03,0.0,0.0,0.0
4516,Jikkyou J-League Perfect Striker,N64,1996-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0
4517,Jikkyou Oshaberi Parodius,SNES,1995-01-01,Shooter,Konami Digital Entertainment,0.0,0.0,0.05,0.0
4518,Jikkyou Powerful Major League,PS2,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0
4519,Jikkyou Powerful Major League 2009,Wii,2009-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0
4520,Jikkyou Powerful Pro Baseball 2016,PS3,2016-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0
4521,Jikkyou Powerful Pro Yakuu '94,SNES,1994-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0
4522,Jikkyou Powerful Pro Yakyuu '95,PS,1994-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.01
4523,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0
4524,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04
4525,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04
4526,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02
4527,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.76,0.05
4528,Jikkyou Powerful Pro Yakyuu '99 Ketteiban,PS,1999-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02
4529,Jikkyou Powerful Pro Yakyuu 10,GC,2003-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0
4530,Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,2003-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0
4531,Jikkyou Powerful Pro Yakyuu 11,PS2,2004-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0
4532,Jikkyou Powerful Pro Yakyuu 12,PS2,2005-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0
4533,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,GC,2005-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.02,0.0
4534,Jikkyou Powerful Pro Yakyuu 13,PS2,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0
4535,Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0
4536,Jikkyou Powerful Pro Yakyuu 14,PS2,2007-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0
4537,Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.09,0.0
4538,Jikkyou Powerful Pro Yakyuu 15,PS2,2008-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.0
4539,Jikkyou Powerful Pro Yakyuu 2,SNES,1995-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0
4540,Jikkyou Powerful Pro Yakyuu 2000,N64,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.06
4541,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.02
4542,Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,PS,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.01
4543,Jikkyou Powerful Pro Yakyuu 2001,PS,2001-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.23,0.02
4544,Jikkyou Powerful Pro Yakyuu 2009,PS2,2009-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0
4545,Jikkyou Powerful Pro Yakyuu 2010,PSP,2010-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0
4546,Jikkyou Powerful Pro Yakyuu 2011,PSP,2011-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0
4547,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0
4548,Jikkyou Powerful Pro Yakyuu 2012,PS3,2012-01-01,Action,Konami Digital Entertainment,0.0,0.0,0.21,0.0
4549,Jikkyou Powerful Pro Yakyuu 2013,PSP,2013-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0
4550,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0
4551,Jikkyou Powerful Pro Yakyuu 3,SNES,1996-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0
4552,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0
4553,Jikkyou Powerful Pro Yakyuu 4,N64,1997-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.05
4554,Jikkyou Powerful Pro Yakyuu 5,N64,1998-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0
4555,Jikkyou Powerful Pro Yakyuu 6,N64,1999-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03
4556,Jikkyou Powerful Pro Yakyuu 7,PS2,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0
4557,Jikkyou Powerful Pro Yakyuu 8,PS2,2001-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0
4558,Jikkyou Powerful Pro Yakyuu 8 Ketteiban,PS2,2001-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0
4559,Jikkyou Powerful Pro Yakyuu 9,GC,2002-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0
4560,Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.09,0.0
4561,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.04
4562,Jikkyou Powerful Pro Yakyuu DreamCast Edition,DC,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0
4563,Jikkyou Powerful Pro Yakyuu Next,Wii,2009-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0
4564,Jikkyou Powerful Pro Yakyuu Portable,PSP,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0
4565,Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.09,0.0
4566,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0
4567,Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0
4568,Jikkyou Powerful Pro Yakyuu Wii,Wii,2007-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0
4569,Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0
4570,Jikkyou World Soccer 2000 Final Edition,PS2,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0
4571,Jikkyou World Soccer 2002,PS2,2002-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0
4572,Jillian Michaels Fitness Ultimatum 2010,DS,2009-01-01,Sports,Majesco Entertainment,0.07,0.0,0.0,0.01
4573,Jillian Michaels Fitness Ultimatum 2011,Wii,2010-01-01,Sports,D3Publisher,0.16,0.0,0.0,0.01
4574,Jillian Michaels' Fitness Adventure,X360,2011-01-01,Misc,505 Games,0.17,0.02,0.0,0.01
4575,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008-01-01,Sports,Deep Silver,0.96,0.2,0.0,0.11
4576,Jim Henson's Muppets in Spy Muppets: License to Croak,GBA,2003-01-01,Action,TDK Mediactive,0.04,0.01,0.0,0.0
4577,Jim Henson's the Muppets: On With the Show!,GBA,2003-01-01,Action,TDK Mediactive,0.1,0.04,0.0,0.0
4578,Jimmie Johnson's Anything With an Engine,PS3,2011-01-01,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01
4579,Jimmy Neutron: Boy Genius,GBA,2001-01-01,Platform,THQ,0.3,0.11,0.0,0.01
4580,Jinguuji Saburou DS: Akai Chou,DS,2010-01-01,Adventure,Arc System Works,0.0,0.0,0.02,0.0
4581,Jinsei Game DS,DS,2006-01-01,Misc,Atlus,0.0,0.0,0.02,0.0
4582,Jinsei Game Q DS: Shouwa no Dekigoto,DS,2007-01-01,Misc,Takara Tomy,0.0,0.0,0.01,0.0
4583,Jinsei Game Wii,Wii,2007-01-01,Misc,Takara Tomy,0.0,0.0,0.02,0.0
4584,Jirou Akagawa: Majotachi no Nemuri,SNES,1995-01-01,Adventure,Pack-In-Video,0.0,0.0,0.05,0.0
4585,Jissen Pachi-Slot Hisshouhou,SNES,1993-01-01,Misc,Sammy Corporation,0.0,0.0,0.19,0.0
4586,Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,2002-01-01,Misc,Sammy Corporation,0.0,0.0,0.2,0.0
4587,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,2005-01-01,Misc,Sega,0.0,0.0,0.13,0.0
4588,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,PS2,2007-01-01,Misc,Sega,0.0,0.0,0.03,0.0
4589,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006-01-01,Misc,Sega,0.0,0.0,0.24,0.0
4590,Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,PS2,2007-01-01,Misc,Sega,0.0,0.0,0.02,0.0
4591,Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002-01-01,Misc,Sammy Corporation,0.0,0.0,0.28,0.0
4592,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004-01-01,Misc,Sammy Corporation,0.0,0.0,1.0,0.0
4593,Jissen Pachinko Hisshouhou! CR Sakura Taisen,PS2,2007-01-01,Misc,Sega,0.0,0.0,0.02,0.0
4594,Jissen Pachislot Hisshouhou! Hokuto no Ken DS,DS,2005-01-01,Misc,Sega,0.0,0.0,0.04,0.0
4595,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006-01-01,Misc,Sega,0.0,0.0,0.05,0.0
4596,Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,2006-01-01,Misc,Sega,0.0,0.0,0.06,0.0
4597,Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,2012-01-01,Action,Sega,0.0,0.0,0.06,0.0
4598,Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002-01-01,Sports,Namco Bandai Games,0.0,0.0,0.02,0.0
4599,JoJo no Kimy? na B?ken Fantomu Buraddo,PS2,2006-01-01,Action,Namco Bandai Games,0.0,0.0,0.05,0.0
4600,JoJo's Bizarre Adventure: All Star Battle,PS3,2013-01-01,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01
4601,JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0
4602,John Daly's ProStroke Golf,X360,2010-01-01,Sports,O-Games,0.01,0.0,0.0,0.0
4603,John Deere: Harvest in the Heartland,DS,2007-01-01,Simulation,Ubisoft,0.23,0.03,0.0,0.02
4604,John Madden Football,SNES,1991-01-01,Sports,Imagineer,0.0,0.0,0.07,0.0
4605,Johnny Bazookatone,PS,1995-01-01,Platform,U.S. Gold,0.03,0.02,0.0,0.0
4606,Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,2009-01-01,Action,Blast! Entertainment Ltd,0.09,0.0,0.0,0.01
4607,Johnny Test,DS,2011-01-01,Platform,505 Games,0.06,0.0,0.0,0.0
4608,Joint Operations: Combined Arms,PC,2009-01-01,Shooter,NovaLogic,0.01,0.0,0.0,0.0
4609,Jojo's Bizarre Adventure,PS,1999-01-01,Fighting,Virgin Interactive,0.01,0.01,0.0,0.0
4610,Jojo's Fashion Show: Design in a Dash!,DS,2009-01-01,Simulation,Ubisoft,0.04,0.0,0.0,0.0
4611,Joker no Kuni no Alice: Wonderful Wonder World,PSP,2011-01-01,Adventure,Quinrose,0.0,0.0,0.02,0.0
4612,Jonah Lomu Rugby Challenge,PC,2011-01-01,Sports,Home Entertainment Suppliers,0.0,0.04,0.0,0.01
4613,Jonas,DS,2009-01-01,Adventure,Disney Interactive Studios,0.27,0.0,0.0,0.02
4614,Jonny Moseley Mad Trix,PS2,2001-01-01,Sports,3DO,0.07,0.05,0.0,0.02
4615,Journey,PS3,2012-01-01,Adventure,Sony Computer Entertainment Europe,0.04,0.13,0.0,0.04
4616,Joust,2600,1982-01-01,Platform,Atari,1.01,0.06,0.0,0.01
4617,Jr. Pac-Man,2600,1983-01-01,Puzzle,Atari,0.72,0.05,0.0,0.01
4618,Judge Dredd,PS,1997-01-01,Platform,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0
4619,Judge Dredd: Dredd Vs Death,XB,2003-01-01,Shooter,Vivendi Games,0.01,0.0,0.0,0.0
4620,Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010-01-01,Role-Playing,Gust,0.0,0.0,0.03,0.0
4621,Judie no Atelier: Guramnat no Renkinjutsushi,PS2,2002-01-01,Role-Playing,Gust,0.0,0.0,0.07,0.0
4622,Juggler DS,DS,2008-01-01,Misc,Commseed,0.0,0.0,0.01,0.0
4623,Juiced,PS2,2005-01-01,Racing,THQ,0.26,0.2,0.0,0.07
4624,Juiced 2: Hot Import Nights,PS3,2007-01-01,Racing,THQ,0.18,0.04,0.01,0.03
4625,Juiced: Eliminator,PSP,2006-01-01,Racing,THQ,0.11,0.2,0.0,0.12
4626,July,DC,1998-01-01,Adventure,Fortyfive,0.0,0.0,0.06,0.0
4627,Jumble Madness,DS,2009-01-01,Puzzle,Destineer,0.06,0.0,0.0,0.0
4628,Jump Start Pet Rescue,Wii,2009-01-01,Misc,Knowledge Adventure,0.41,0.0,0.0,0.03
4629,Jump Super Stars,DS,2005-01-01,Fighting,Nintendo,0.0,0.0,0.55,0.0
4630,Jump Ultimate Stars,DS,2006-01-01,Fighting,Nintendo,0.0,0.0,0.74,0.0
4631,JumpStart: Escape from Adventure Island,Wii,2009-01-01,Adventure,Knowledge Adventure,0.38,0.0,0.0,0.03
4632,Jumper: Griffin's Story,Wii,2008-01-01,Action,Eidos Interactive,0.08,0.0,0.0,0.01
4633,Jumping Flash!,PS,1995-01-01,Platform,Sony Computer Entertainment,0.05,0.03,0.21,0.02
4634,Jumping Flash! 2,PS,1996-01-01,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02
4635,Jungle Hunt,2600,1982-01-01,Platform,Atari,1.03,0.06,0.0,0.01
4636,Junior Brain Trainer,DS,2008-01-01,Misc,GSP,0.23,0.71,0.0,0.09
4637,Junior Brain Trainer 2,DS,2010-01-01,Misc,GSP,0.04,0.2,0.0,0.03
4638,Junior Classic Books & Fairytales,DS,2010-01-01,Misc,GSP,0.05,0.01,0.0,0.01
4639,Junior Classic Games,DS,2009-01-01,Misc,Avanquest,0.26,0.09,0.0,0.03
4640,Junior Island Adventure,DS,2011-01-01,Puzzle,Unknown,0.03,0.0,0.0,0.0
4641,Junior Mystery Quest,DS,2011-01-01,Puzzle,GSP,0.07,0.01,0.0,0.01
4642,Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008-01-01,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0
4643,Jupiter Strike,PS,1994-01-01,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01
4644,Jurassic Park,NES,1993-01-01,Action,Ocean,0.25,0.1,0.0,0.01
4645,Jurassic Park III: Island Attack,GBA,2001-01-01,Adventure,Konami Digital Entertainment,0.13,0.05,0.0,0.0
4646,Jurassic Park III: Park Builder,GBA,2001-01-01,Simulation,Konami Digital Entertainment,0.04,0.02,0.0,0.0
4647,Jurassic Park: Operation Genesis,XB,2003-01-01,Simulation,Konami Digital Entertainment,0.05,0.01,0.0,0.0
4648,Jurassic: The Hunted,Wii,2009-01-01,Shooter,Activision,0.14,0.0,0.0,0.01
4649,Just Cause,PS2,2006-01-01,Action,Eidos Interactive,0.01,0.01,0.0,0.0
4650,Just Cause 2,PS3,2010-01-01,Action,Square Enix,0.45,0.92,0.06,0.32
4651,Just Cause 3,XOne,2015-01-01,Action,Square Enix,0.44,0.39,0.0,0.08
4652,Just Dance,Wii,2009-01-01,Misc,Ubisoft,3.48,2.99,0.0,0.73
4653,Just Dance 2,Wii,2010-01-01,Misc,Ubisoft,5.8,2.85,0.01,0.78
4654,Just Dance 2014,X360,2013-01-01,Misc,Ubisoft,0.72,0.17,0.0,0.1
4655,Just Dance 2015,WiiU,2014-01-01,Misc,Ubisoft,0.38,0.29,0.0,0.06
4656,Just Dance 2016,XOne,2015-01-01,Misc,Ubisoft,0.25,0.04,0.0,0.03
4657,Just Dance 2017,PS4,2016-01-01,Misc,Ubisoft,0.02,0.0,0.0,0.01
4658,Just Dance 2: Extra Songs,Wii,2011-01-01,Misc,Ubisoft,0.0,0.17,0.0,0.03
4659,Just Dance 3,Wii,2011-01-01,Misc,Ubisoft,5.95,3.11,0.0,1.06
4660,Just Dance 4,WiiU,2012-01-01,Misc,Ubisoft,0.21,0.13,0.0,0.03
4661,Just Dance Kids,Wii,2010-01-01,Misc,Ubisoft,1.52,0.54,0.0,0.18
4662,Just Dance Kids 2,Wii,2011-01-01,Misc,Ubisoft,0.25,0.0,0.0,0.02
4663,Just Dance Wii,Wii,2011-01-01,Misc,Nintendo,0.0,0.0,0.73,0.0
4664,Just Dance Wii 2,Wii,2012-01-01,Misc,Nintendo,0.0,0.0,0.29,0.0
4665,Just Dance Wii U,WiiU,2014-01-01,Misc,Nintendo,0.0,0.0,0.09,0.0
4666,Just Dance: Disney Party,X360,2012-01-01,Misc,Ubisoft,0.13,0.02,0.0,0.02
4667,Just Dance: Disney Party 2,WiiU,2015-01-01,Action,Ubisoft,0.06,0.01,0.0,0.01
4668,Just Dance: Greatest Hits,Wii,2012-01-01,Misc,Ubisoft,0.14,0.04,0.0,0.01
4669,Just Dance: Summer Party,Wii,2011-01-01,Misc,Ubisoft,0.4,0.0,0.0,0.02
4670,Just In Time Translations,DS,2009-01-01,Misc,THQ,0.1,0.0,0.0,0.01
4671,Just Sing!,DS,2009-01-01,Misc,DTP Entertainment,0.14,0.0,0.0,0.01
4672,Just Sing! Vol. 2,DS,2011-01-01,Misc,PQube,0.0,0.03,0.0,0.0
4673,Justice League Heroes,PSP,2006-01-01,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.02
4674,Justice League Heroes: The Flash,GBA,2006-01-01,Action,Eidos Interactive,0.02,0.01,0.0,0.0
4675,Justice League: Chronicles,GBA,2003-01-01,Platform,Midway Games,0.03,0.01,0.0,0.0
4676,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014-01-01,Action,Idea Factory,0.0,0.0,0.02,0.0
4677,Jyuzaengi: Engetsu Sangokuden,PSP,2012-01-01,Action,Idea Factory,0.0,0.0,0.03,0.0
4678,K-1 Grand Prix,PS,1999-01-01,Fighting,Jaleco,0.01,0.01,0.0,0.0
4679,K-1 Revenge,PS,1997-01-01,Fighting,Xing Entertainment,0.04,0.03,0.16,0.02
4680,K-1 World Grand Prix,PS2,2002-01-01,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01
4681,K-ON! Houkago Live!!,PSP,2010-01-01,Misc,Sega,0.0,0.0,0.25,0.0
4682,K-On! After School Live!! HD Ver.,PS3,2012-01-01,Action,Sega,0.0,0.0,0.03,0.0
4683,KISS Pinball,PS,2001-01-01,Action,Take-Two Interactive,0.17,0.12,0.0,0.02
4684,KORG DS-10 Synthesizer,DS,2008-01-01,Misc,AQ Interactive,0.19,0.01,0.0,0.02
4685,KORG DS-10 Synthesizer Plus,DS,2009-01-01,Misc,AQ Interactive,0.07,0.0,0.02,0.01
4686,Kabu Trader Shun,DS,2007-01-01,Action,Capcom,0.0,0.0,0.03,0.0
4687,Kabuki Warriors,XB,2001-01-01,Action,Genki,0.05,0.01,0.0,0.0
4688,Kabushiki Baibai Trainer: Kabutore!,DS,2006-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0
4689,Kabushiki Baibai Trainer: Kabutore! Next,DS,2007-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0
4690,Kadenz fermata//Akkord:fortissimo,PSV,2014-01-01,Adventure,5pb,0.0,0.0,0.02,0.0
4691,Kagero: Deception II,PS,1998-01-01,Strategy,Virgin Interactive,0.03,0.02,0.22,0.02
4692,Kaidan Restaurant: Ura Menu 100-Sen,DS,2010-01-01,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0
4693,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011-01-01,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0
4694,Kaijuu Busters,DS,2009-01-01,Action,Namco Bandai Games,0.0,0.0,0.12,0.0
4695,Kaijuu Busters Powered,DS,2011-01-01,Action,Namco Bandai Games,0.0,0.0,0.08,0.0
4696,Kaite Shabette Hajimeyou! Monster Farm DS,DS,2007-01-01,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0
4697,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,3DS,2015-01-01,Action,Namco Bandai Games,0.0,0.0,0.01,0.0
4698,Kaitou Rousseau,DS,2006-01-01,Action,Namco Bandai Games,0.0,0.0,0.01,0.0
4699,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011-01-01,Adventure,Alchemist,0.0,0.0,0.03,0.0
4700,Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011-01-01,Action,Namco Bandai Games,0.0,0.0,0.03,0.0
4701,Kakuto Chojin,XB,2002-01-01,Fighting,Microsoft Game Studios,0.04,0.01,0.0,0.0
4702,Kakyuusei,SAT,1997-01-01,Strategy,Elf,0.0,0.0,0.28,0.0
4703,Kaleidoeve,PSV,2015-01-01,Adventure,HuneX,0.0,0.0,0.02,0.0
4704,Kamaitachi no Yoru,SNES,1994-01-01,Adventure,ChunSoft,0.0,0.0,0.81,0.0
4705,Kamaitachi no Yoru 2,PS2,2002-01-01,Adventure,ChunSoft,0.0,0.0,0.36,0.0
4706,Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,2006-01-01,Adventure,ChunSoft,0.0,0.0,0.01,0.0
4707,Kamaitachi no Yoru × 3,PS2,2006-01-01,Adventure,Sega,0.0,0.0,0.16,0.0
4708,Kamen Rider Battle: Ganbaride,DS,2010-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.0
4709,Kamen Rider Kabuto,PS2,2006-01-01,Action,Namco Bandai Games,0.0,0.0,0.06,0.0
4710,Kamen Rider Ryuki,PS,2002-01-01,Action,Namco Bandai Games,0.0,0.0,0.13,0.01
4711,Kamen Rider: Battride War,PS3,2013-01-01,Action,Namco Bandai Games,0.0,0.0,0.19,0.0
4712,Kamen Rider: Battride War Genesis,PS3,2016-01-01,Action,Namco Bandai Games,0.0,0.0,0.04,0.0
4713,Kamen Rider: Battride War II,PS3,2014-01-01,Action,Namco Bandai Games,0.0,0.0,0.1,0.0
4714,Kamen Rider: Climax Heroes,PS2,2009-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.11,0.0
4715,Kamen Rider: Dragon Knight,Wii,2009-01-01,Fighting,D3Publisher,0.06,0.0,0.0,0.0
4716,Kamen Rider: Travelers Senki,3DS,2013-01-01,Action,Seventh Chord,0.0,0.0,0.08,0.0
4717,Kameo: Elements of Power,X360,2005-01-01,Action,Microsoft Game Studios,0.28,0.03,0.0,0.03
4718,Kami Naru Kimi to,PSP,2011-01-01,Adventure,Idea Factory,0.0,0.0,0.02,0.0
4719,Kamigami no Asobi,PSP,2013-01-01,Adventure,Broccoli,0.0,0.0,0.03,0.0
4720,Kamigami no Asobi InFinite,PSV,2016-01-01,Adventure,Broccoli,0.0,0.0,0.01,0.0
4721,Kamiwaza,PS2,2006-01-01,Action,Acquire,0.0,0.0,0.05,0.0
4722,Kan Colle Kai,PSV,2016-01-01,Action,Kadokawa Games,0.0,0.0,0.19,0.0
4723,Kana: Imouto,PSP,2010-01-01,Adventure,CyberFront,0.0,0.0,0.01,0.0
4724,Kane & Lynch 2: Dog Days,PS3,2010-01-01,Shooter,Square Enix,0.17,0.27,0.05,0.1
